id,height,latitude,longitude,name,Bundesland
2261,565,50.3123,11.876,Hof,Bayern
2290,977,47.8009,11.0108,Hohenpeiﬂenberg,Bayern
2303,10,54.3162,9.5385,Hohn,Schleswig-Holstein
2306,8,54.3194,10.6732,Hohwacht,Schleswig-Holstein
2315,80,51.7657,13.1666,Holzdorf,(Flugplatz)
2319,685,47.8823,11.6961,Holzkirchen,Bayern
2323,110,51.8529,9.4953,"Bevern,",Kr.
2338,39,52.3333,7.55,Hopsten,(Flugplatz)
2362,328,50.5651,7.4843,H¸mmerich,Rheinland-Pfalz
2374,3,54.4752,9.0564,Husum,Schleswig-Holstein
2385,376,49.6927,7.3263,Idar-Oberstein,Rheinland-Pfalz
2410,364,48.7111,11.5363,Ingolstadt,(Flugplatz)
2429,21,53.9897,9.5696,Itzehoe,Schleswig-Holstein
2437,21,54.457,9.5203,Schleswig-Jagel,Schleswig-Holstein
2444,155,50.9251,11.583,Jena,(Sternwarte)
2456,7,53.5322,7.8806,Jever,Niedersachsen
2480,108,50.0643,8.993,Kahl/Main,Bayern
2483,839,51.1803,8.4891,Kahler,Asten
2485,489,48.917,9.6871,Kaisersbach-Cronh¸tte,Baden-W¸rttemberg
2486,271,49.4262,7.7557,Kaiserslautern,Rheinland-Pfalz
2494,31,51.7329,6.2688,Kalkar,Nordrhein-Westfalen
2497,505,50.5014,6.5264,Kall-Sistig,Nordrhein-Westfalen
2503,487,50.6266,10.1455,Kaltennordheim,Th¸ringen
2522,112,49.0382,8.3641,Karlsruhe,Baden-W¸rttemberg
2532,231,51.2963,9.4424,Kassel,Hessen
2542,716,47.8652,10.6007,Kaufbeuren,Bayern
2559,705,47.7233,10.3348,Kempten,Bayern
2564,28,54.3776,10.1424,Kiel-Holtenau,Schleswig-Holstein
2565,17,54.3378,10.0929,Kiel-Kronshagen,Schleswig-Holstein
2575,432,49.1804,9.98,Kirchberg/Jagst-Herboldshausen,Baden-W¸rttemberg
2578,14,53.9995,11.4341,Kirchdorf/Poel,Mecklenburg-Vorpommern
2597,282,50.224,10.0792,"Kissingen,",Bad
2600,193,49.7363,10.1781,Kitzingen,Bayern
2601,822,50.2218,8.4469,Kleiner,Feldberg/Taunus
2618,732,50.8458,10.4803,Kleiner,Inselsberg
2627,128,51.5554,13.8845,Schipkau-Klettwitz,Brandenburg
2629,46,51.7612,6.0954,Kleve,Nordrhein-Westfalen
2638,974,48.1054,8.7548,Klippeneck,Baden-W¸rttemberg
2641,90,51.5185,12.9065,Klitzschen,bei
2656,96,50.3519,7.5906,Koblenz,Rheinland-Pfalz
