,Stations_id,Referenzjahr,Qualitaetsniveau,Objekt_id,Phase_id,Eintrittsdatum,Eintrittsdatum_QB,Jultag,eor,Unnamed: 9
10767,04887,1973,7,215,12,19730529,1,149,eor,                                                                            
10768,04887,1973,7,215,24,19730928,1,271,eor,                                                                            
10769,04887,1974,7,215,10,19740410,1,100,eor,                                                                            
10770,04887,1974,7,215,12,19740505,1,125,eor,                                                                            
10771,04887,1974,7,215,24,19741115,1,319,eor,                                                                            
10772,04887,1975,7,215,10,19750505,1,125,eor,                                                                            
10773,04887,1975,7,215,12,19750517,1,137,eor,                                                                            
10774,04887,1976,7,215,10,19760505,1,125,eor,                                                                            
10775,04887,1976,7,215,12,19760512,1,132,eor,                                                                            
10776,04887,1976,7,215,24,19760916,1,259,eor,                                                                            
10777,04887,1977,7,215,10,19770504,1,124,eor,                                                                            
10778,04887,1977,7,215,12,19770522,1,142,eor,                                                                            
10779,04887,1977,7,215,24,19771005,1,278,eor,                                                                            
10780,04887,1978,7,215,10,19780503,1,123,eor,                                                                            
10781,04887,1978,7,215,12,19780514,1,134,eor,                                                                            
10782,04887,1978,7,215,24,19780927,1,270,eor,                                                                            
10783,04887,1979,7,215,10,19790523,1,143,eor,                                                                            
10784,04887,1979,7,215,12,19790526,1,146,eor,                                                                            
10785,04887,1979,7,215,24,19790925,1,268,eor,                                                                            
10786,04887,1980,10,215,10,19800430,1,120,eor,                                                                            
10787,04887,1980,10,215,12,19800530,1,150,eor,                                                                            
10788,04887,1980,10,215,24,19800929,1,272,eor,                                                                            
10789,04887,1981,10,215,10,19810421,1,111,eor,                                                                            
10790,04887,1981,10,215,12,19810524,1,144,eor,                                                                            
10791,04887,1981,10,215,24,19810914,1,257,eor,                                                                            
10792,04887,1982,10,215,10,19820515,1,135,eor,                                                                            
10793,04887,1982,10,215,12,19820524,1,144,eor,                                                                            
10794,04887,1982,10,215,24,19820922,1,265,eor,                                                                            
10795,04887,1983,10,215,10,19830514,1,134,eor,                                                                            
10796,04887,1983,10,215,12,19830530,1,150,eor,                                                                            
10797,04887,1983,10,215,24,19830921,1,264,eor,                                                                            
10798,04887,1984,10,215,6,19840828,1,240,eor,                                                                            
10799,04887,1984,10,215,10,19840507,1,127,eor,                                                                            
10800,04887,1984,10,215,12,19840526,1,146,eor,                                                                            
10801,04887,1984,10,215,24,19841010,1,283,eor,                                                                            
