,Objekt_id,Objekt,Phasen_id,Phase,Phasendefinition,BBCH_Code,Hinweis BBCH,eor,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
29,204,Wintergerste                                                                    ,18,Ährenschieben Beginn                    ,an etwa der Hälfte der Halme drängen sich die Spitzen der Ähren seitlich aus den Blattscheiden heraus                                                                                                   ,            51,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
30,204,Wintergerste                                                                    ,21,Gelbreife Beginn                        ,die ersten Körner in ca. der Hälfte der Ähren haben ihre Verfärbung von grün auf gelb beendet und lassen sich leicht aus der Ähre lösen                                                                 ,            87,"definierter Beobachtungszeitpunkt der Phase könnte etwas früher sein als das entsprechende BBCH-Stadium, in der Praxis jedoch kaum bestimmbare Auswirkung       ",eor,                                                                                                                                                                                                                                                                                 
31,204,Wintergerste                                                                    ,22,Vollreife Beginn                        ,die gelb gewordenen Körner sind merklich geschrumpft und hart geworden                                                                                                                                  ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
32,204,Wintergerste                                                                    ,23,Ernte von Hand                          ,Beginn der Ernte mittels Sense oder einfacher Maschine (z.B. Mähbinder)                                                                                                                                 ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
33,204,Wintergerste                                                                    ,24,Ernte                                   ,das beobachtete Winterrapsfeld wird mit dem Mähdrescher abgeerntet                                                                                                                                      ,              ,kein BBCH-Code vorhanden                                                                                                                                        ,eor,                                                                                                                                                                                                                                                                                 
34,205,Winterraps                                                                      ,5,Blüte Beginn                            ,etwa 5% der gelben Blüten sind geöffnet                                                                                                                                                                 ,            61,"definierter Beobachtungszeitpunkt der Phase könnte etwas früher sein als das entsprechende BBCH-Stadium, in der Praxis jedoch kaum bestimmbare Auswirkung       ",eor,                                                                                                                                                                                                                                                                                 
35,205,Winterraps                                                                      ,10,Bestellung Beginn                       ,das erste Feld im Beobachtungsgebiet wird mit Winterraps bestellt                                                                                                                                       ,             0,unechte phänologische Phase                                                                                                                                   ,eor,                                                                                                                                                                                                                                                                                 
36,205,Winterraps                                                                      ,12,Auflaufen Beginn                        ,die Pflanzen haben mit ihren beiden herzförmigen Keimblättern die Erdoberfläche durchbrochen und eine Höhe von etwa 1 cm erreicht                                                                       ,            10,"Phasenbezeichnung nicht ganz korrekt, fachsprachlich ""Blattwachstum""                                                                                            ",eor,                                                                                                                                                                                                                                                                                 
37,205,Winterraps                                                                      ,14,Rosettenbildung Beginn                  ,etwa 50% der Pflanzen haben das vierte gezackte Laubblatt der Rosette ausgebildet                                                                                                                       ,            14,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
38,205,Winterraps                                                                      ,17,Knospenbildung Beginn                   ,an etwa der Hälfte der Pflanzen werden die Endknospen am Haupttrieb sichtbar                                                                                                                            ,            50,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
39,205,Winterraps                                                                      ,22,Vollreife Beginn                        ,die meisten Rapskörner sind halbseitig schwarz                                                                                                                                                          ,            87,"definierter Beobachtungszeitpunkt der Phase könnte etwas früher sein als das entsprechende BBCH-Stadium, in der Praxis jedoch kaum bestimmbare Auswirkung       ",eor,                                                                                                                                                                                                                                                                                 
40,205,Winterraps                                                                      ,23,Ernte von Hand                          ,Beginn der Ernte mittels Sense oder einfacher Maschine (z.B. Mähbinder)                                                                                                                                 ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
41,205,Winterraps                                                                      ,24,Ernte                                   ,das beobachtete Winterrapsfeld wird mit dem Mähdrescher abgeerntet                                                                                                                                      ,              ,kein BBCH-Code vorhanden                                                                                                                                        ,eor,                                                                                                                                                                                                                                                                                 
42,205,Winterraps                                                                      ,67,Längenwachstum Beginn                   ,etwa 50% der Pflanzenstängel haben eine Länge von über 5 cm erreicht - gemessen von den Ansatzstellen der Kotyledonen (Keimblätter) bis zum Vegetations-Kegel (Stängelspitze)                           ,            31,"definierter Beobachtungszeitpunkt der Phase könnte etwas früher sein als das entsprechende BBCH-Stadium, in der Praxis jedoch kaum bestimmbare Auswirkung       ",eor,                                                                                                                                                                                                                                                                                 
43,206,Sommerweizen                                                                    ,10,Bestellung Beginn                       ,im Frühjahr wird das erste Feld mit Sommerweizen bestellt                                                                                                                                               ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
44,206,Sommerweizen                                                                    ,12,Auflaufen Beginn                        ,die noch eingerollten Keimblätter haben die Erdoberfläche durchstoßen und eine Höhe von ca. 1 cm erreicht                                                                                               ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
45,206,Sommerweizen                                                                    ,15,Schossen Beginn                         ,etwa 50% der Pflanzen wachsen deutlich in die Länge und der erste Halmknoten ist über dem Erdboden gut fühlbar                                                                                          ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
46,206,Sommerweizen                                                                    ,18,Ährenschieben Beginn                    ,an etwa 50% der Halme drängen sich die Spitzen der Ähren seitlich aus den Blattscheiden heraus                                                                                                          ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
47,206,Sommerweizen                                                                    ,21,Gelbreife Beginn                        ,die ersten Körner in mehreren Ähren haben ihre Verfärbung von grün auf gelb beendet und lassen sich leicht aus der Rispe lösen                                                                          ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
48,206,Sommerweizen                                                                    ,22,Vollreife Beginn                        ,die gelb gewordenen Körner sind merklich geschrumpft und hart geworden                                                                                                                                  ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
49,206,Sommerweizen                                                                    ,23,Ernte von Hand                          ,Beginn der Ernte mittels Sense oder einfacher Maschine (z.B. Mähbinder)                                                                                                                                 ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
50,206,Sommerweizen                                                                    ,24,Ernte                                   ,das beobachtete Feld wird mittels Mähdrescher abgeerntet                                                                                                                                                ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
51,207,Sommergerste                                                                    ,10,Bestellung Beginn                       ,im Frühjahr wird das erste Feld mit Sommergerste bestellt                                                                                                                                               ,             0,unechte phänologische Phase                                                                                                                                   ,eor,                                                                                                                                                                                                                                                                                 
52,207,Sommergerste                                                                    ,10,Bestellung Beginn                       ,im Frühjahr wird das erste Feld mit Sommergerste bestellt                                                                                                                                               ,             0,unechte phänologische Phase                                                                                                                                   ,eor,                                                                                                                                                                                                                                                                                 
53,207,Sommergerste                                                                    ,12,Auflaufen Beginn                        ,die noch eingerollten Keimblätter haben die Erdoberfläche durchstoßen und eine Höhe von ca. 1 cm erreicht                                                                                               ,            10,"Phasenbezeichnung nicht ganz korrekt, fachsprachlich ""Blattwachstum""                                                                                            ",eor,                                                                                                                                                                                                                                                                                 
54,207,Sommergerste                                                                    ,12,Auflaufen Beginn                        ,die noch eingerollten Keimblätter haben die Erdoberfläche durchstoßen und eine Höhe von ca. 1 cm erreicht                                                                                               ,            10,"Phasenbezeichnung nicht ganz korrekt, fachsprachlich ""Blattwachstum""                                                                                            ",eor,                                                                                                                                                                                                                                                                                 
55,207,Sommergerste                                                                    ,15,Schossen Beginn                         ,etwa 50% der Pflanzen wachsen deutlich in die Länge und der erste Halmknoten ist über dem Erdboden gut fühlbar                                                                                          ,            31,"Beschreibung ""Beginn des Schossens"" DWD-Beobachteranleitung entspricht BBCH-Code 31 (1-Knoten-Stadium)                                                          ",eor,                                                                                                                                                                                                                                                                                 
56,207,Sommergerste                                                                    ,15,Schossen Beginn                         ,etwa 50% der Pflanzen wachsen deutlich in die Länge und der erste Halmknoten ist über dem Erdboden gut fühlbar                                                                                          ,            31,"Beschreibung ""Beginn des Schossens"" DWD-Beobachteranleitung entspricht BBCH-Code 31 (1-Knoten-Stadium)                                                          ",eor,                                                                                                                                                                                                                                                                                 
57,207,Sommergerste                                                                    ,18,Ährenschieben Beginn                    ,an etwa 50% der Halme drängen sich die Spitzen der Rispen seitlich aus den Blattscheiden heraus                                                                                                         ,            51,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
58,207,Sommergerste                                                                    ,18,Ährenschieben Beginn                    ,an etwa 50% der Halme drängen sich die Spitzen der Rispen seitlich aus den Blattscheiden heraus                                                                                                         ,            51,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
59,207,Sommergerste                                                                    ,21,Gelbreife Beginn                        ,die ersten Körner in mehreren Ähren haben ihre Verfärbung von grün auf gelb beendet und lassen sich leicht aus der Rispe lösen                                                                          ,            87,"definierter Beobachtungszeitpunkt der Phase könnte etwas früher sein als das entsprechende BBCH-Stadium, in der Praxis jedoch kaum bestimmbare Auswirkung       ",eor,                                                                                                                                                                                                                                                                                 
60,207,Sommergerste                                                                    ,21,Gelbreife Beginn                        ,die ersten Körner in mehreren Ähren haben ihre Verfärbung von grün auf gelb beendet und lassen sich leicht aus der Rispe lösen                                                                          ,            87,"definierter Beobachtungszeitpunkt der Phase könnte etwas früher sein als das entsprechende BBCH-Stadium, in der Praxis jedoch kaum bestimmbare Auswirkung       ",eor,                                                                                                                                                                                                                                                                                 
61,207,Sommergerste                                                                    ,22,Vollreife Beginn                        ,die gelb gewordenen Körner sind merklich geschrumpft und hart geworden                                                                                                                                  ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
62,207,Sommergerste                                                                    ,23,Ernte von Hand                          ,Beginn der Ernte mittels Sense oder einfacher Maschine (z.B. Mähbinder)                                                                                                                                 ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
63,207,Sommergerste                                                                    ,24,Ernte                                   ,das beobachtete Feld wird mittels Mähdrescher abgeerntet                                                                                                                                                ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
64,207,Sommergerste                                                                    ,24,Ernte                                   ,das beobachtete Feld wird mittels Mähdrescher abgeerntet                                                                                                                                                ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
65,208,Hafer                                                                           ,10,Bestellung Beginn                       ,im Frühjahr wird das erste Feld mit Hafer bestellt                                                                                                                                                      ,             0,unechte phänologische Phase                                                                                                                                   ,eor,                                                                                                                                                                                                                                                                                 
66,208,Hafer                                                                           ,12,Auflaufen Beginn                        ,die noch eingerollten Keimblätter haben die Erdoberfläche durchstoßen und eine Höhe von ca. 1 cm erreicht                                                                                               ,            10,"Phasenbezeichnung nicht ganz korrekt, fachsprachlich ""Blattwachstum""                                                                                            ",eor,                                                                                                                                                                                                                                                                                 
67,208,Hafer                                                                           ,15,Schossen Beginn                         ,etwa 50% der Pflanzen wachsen deutlich in die Länge und der erste Halmknoten ist über dem Erdboden gut fühlbar                                                                                          ,            31,"Beschreibung ""Beginn des Schossens"" DWD-Beobachteranleitung entspricht BBCH-Code 31 (1-Knoten-Stadium)                                                          ",eor,                                                                                                                                                                                                                                                                                 
68,208,Hafer                                                                           ,19,Milchreife Beginn                       ,"die ersten Körner in mehreren Ripsen haben ihre endgültige Größe erreicht, sind aber noch weich und grün                                                                                                ",            75,"definierter Beobachtungszeitpunkt der Phase könnte etwas früher sein als das entsprechende BBCH-Stadium, in der Praxis jedoch kaum bestimmbare Auswirkung       ",eor,                                                                                                                                                                                                                                                                                 
69,208,Hafer                                                                           ,21,Gelbreife Beginn                        ,die ersten Körner in ca. der Hälfte der Rispen haben ihre Verfärbung von grün auf gelb beendet und lassen sich leicht aus der Rispe lösen                                                               ,            87,"definierter Beobachtungszeitpunkt der Phase könnte etwas früher sein als das entsprechende BBCH-Stadium, in der Praxis jedoch kaum bestimmbare Auswirkung       ",eor,                                                                                                                                                                                                                                                                                 
70,208,Hafer                                                                           ,22,Vollreife Beginn                        ,die gelb gewordenen Körner sind merklich geschrumpft und hart geworden                                                                                                                                  ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
71,208,Hafer                                                                           ,23,Ernte von Hand                          ,Beginn der Ernte mittels Sense oder einfacher Maschine (z.B. Mähbinder)                                                                                                                                 ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
72,208,Hafer                                                                           ,24,Ernte                                   ,das beobachtete Feld wird abgeerntet                                                                                                                                                                    ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
73,208,Hafer                                                                           ,66,Rispenschieben Beginn                   ,an etwa der Hälfte der Halme drängen sich die Spitzen der Rispen seitlich aus den Blattscheiden heraus                                                                                                  ,            51,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
74,209,Sonnenblume                                                                     ,5,Blüte Beginn                            ,an etwa 5% der Blütenkörbe sind die Staubbeutel des ersten bis dritten Blütenkranzes sichtbar                                                                                                           ,            61,"definierter Beobachtungszeitpunkt der Phase könnte etwas früher sein als das entsprechende BBCH-Stadium, in der Praxis jedoch kaum bestimmbare Auswirkung       ",eor,                                                                                                                                                                                                                                                                                 
75,209,Sonnenblume                                                                     ,10,Bestellung Beginn                       ,im Beobachtungsgebiet wird das erste Feld mit Sonnenblumen bestellt                                                                                                                                     ,             0,unechte phänologische Phase                                                                                                                                   ,eor,                                                                                                                                                                                                                                                                                 
76,209,Sonnenblume                                                                     ,12,Auflaufen Beginn                        ,die Sprosse haben den Erdboden durchbrochen und beginnen sich zu strecken                                                                                                                               ,            10,"Phasenbezeichnung nicht ganz korrekt, fachsprachlich ""Blattwachstum""                                                                                            ",eor,                                                                                                                                                                                                                                                                                 
77,209,Sonnenblume                                                                     ,16,Blattbildung Beginn                     ,etwa 50% der Pflanzen auf dem beobachteten Feld haben ihr erstes Laubblattpaar entfaltet                                                                                                                ,            12,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
78,209,Sonnenblume                                                                     ,17,Knospenbildung Beginn                   ,bei etwa 50% der Sonnenblumen wird die eng in die jungen Blätter eingebettete Blütenknospe im Sprossgipfel sichtbar                                                                                     ,            51,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
79,209,Sonnenblume                                                                     ,24,Ernte                                   ,das beobachtete Feld wird abgeerntet                                                                                                                                                                    ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
80,215,Mais                                                                            ,5,Blüte Beginn                            ,bei etwa 5% der Pflanzen sind die Rispenmitteläste in der Rispe aufgeblüht                                                                                                                              ,            61,"nur männliche Blüten!, def. Beobachtungszeitpunkt der Phase könnte etwas früher sein als das entspr. BBCH-Stad., in der Praxis jedoch kaum bestimmb. Auswirkung ",eor,                                                                                                                                                                                                                                                                                 
81,215,Mais                                                                            ,5,Blüte Beginn                            ,bei etwa 5% der Pflanzen sind die Rispenmitteläste in der Rispe aufgeblüht                                                                                                                              ,            61,"nur männliche Blüten!, def. Beobachtungszeitpunkt der Phase könnte etwas früher sein als das entspr. BBCH-Stad., in der Praxis jedoch kaum bestimmb. Auswirkung ",eor,                                                                                                                                                                                                                                                                                 
82,215,Mais                                                                            ,6,Vollblüte                               ,an etwa 50% der Pflanzen geben die Staubbeutel sichtbar Pollen ab                                                                                                                                       ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
83,215,Mais                                                                            ,10,Bestellung Beginn                       ,das erste Feld im Beobachtungsgebiet wird mit Mais bestellt                                                                                                                                             ,             0,unechte phänologische Phase                                                                                                                                   ,eor,                                                                                                                                                                                                                                                                                 
84,215,Mais                                                                            ,10,Bestellung Beginn                       ,das erste Feld im Beobachtungsgebiet wird mit Mais bestellt                                                                                                                                             ,             0,unechte phänologische Phase                                                                                                                                   ,eor,                                                                                                                                                                                                                                                                                 
85,215,Mais                                                                            ,12,Auflaufen Beginn                        ,die Pflänzchen haben die Erdoberfläche durchbrochen und eine Höhe von etwa 1cm erreicht                                                                                                                 ,            10,"Phasenbezeichnung nicht ganz korrekt, fachsprachlich ""Blattwachstum""                                                                                            ",eor,                                                                                                                                                                                                                                                                                 
86,215,Mais                                                                            ,12,Auflaufen Beginn                        ,die Pflänzchen haben die Erdoberfläche durchbrochen und eine Höhe von etwa 1cm erreicht                                                                                                                 ,            10,"Phasenbezeichnung nicht ganz korrekt, fachsprachlich ""Blattwachstum""                                                                                            ",eor,                                                                                                                                                                                                                                                                                 
87,215,Mais                                                                            ,19,Milchreife Beginn                       ,die Körner haben ihre endgültige Größe erreicht                                                                                                                                                         ,            75,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
88,215,Mais                                                                            ,19,Milchreife Beginn                       ,die Körner haben ihre endgültige Größe erreicht                                                                                                                                                         ,            75,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
89,215,Mais                                                                            ,20,Teigreife Beginn                        ,die Körner sind äußerlich gelblich bis gelb                                                                                                                                                             ,            83,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
90,215,Mais                                                                            ,20,Teigreife Beginn                        ,die Körner sind äußerlich gelblich bis gelb                                                                                                                                                             ,            83,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
91,215,Mais                                                                            ,21,Gelbreife Beginn                        ,die Körner sind außen hart und gelblich bis dunkelgelb                                                                                                                                                  ,            87,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
92,215,Mais                                                                            ,21,Gelbreife Beginn                        ,die Körner sind außen hart und gelblich bis dunkelgelb                                                                                                                                                  ,            87,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
93,215,Mais                                                                            ,24,Ernte                                   ,das beobachtete Maisfeld wird abgeerntet                                                                                                                                                                ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
94,215,Mais                                                                            ,24,Ernte                                   ,das beobachtete Maisfeld wird abgeerntet                                                                                                                                                                ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
95,215,Mais                                                                            ,65,Fahnenschieben Beginn                   ,"bei etwa 50% der Pflanzen wird am Ende des Stängels die Rispe, auch Fahne genannt, sichtbar                                                                                                             ",            53,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
96,215,Mais                                                                            ,65,Fahnenschieben Beginn                   ,"bei etwa 50% der Pflanzen wird am Ende des Stängels die Rispe, auch Fahne genannt, sichtbar                                                                                                             ",            53,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
97,215,Mais                                                                            ,67,Längenwachstum Beginn                   ,bei etwa 50% der Pflanzen wird durch Streckung des Stängels der ersten oberirdischen Stängelknoten (zwischen dem sechsten und siebenten Blatt) sichtbar                                                 ,            31,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
98,215,Mais                                                                            ,67,Längenwachstum Beginn                   ,bei etwa 50% der Pflanzen wird durch Streckung des Stängels der ersten oberirdischen Stängelknoten (zwischen dem sechsten und siebenten Blatt) sichtbar                                                 ,            31,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
99,232,"Frühkartoffel, vorgekeimt                                                       ",5,Blüte Beginn                            ,die ersten Blüten auf dem beobachteten Feld haben sich geöffnet                                                                                                                                         ,              ,                                                                                                                                                                ,eor,                                                                                                                                                                                                                                                                                 
